N,P,seed,stable,tail_time,min_retention,output_dir
16,12,404,False,8.0,6.9502836169502835,outputs\20251222-163516-549278
16,12,505,True,8.0,8.008008008008009,outputs\20251222-163519-057325
16,12,606,True,8.0,8.008008008008009,outputs\20251222-163521-523757
16,12,707,False,8.0,6.404738071404737,outputs\20251222-163523-964311
16,14,101,True,8.0,8.008008008008009,outputs\20251222-163526-438751
16,14,202,False,8.0,4.41941941941942,outputs\20251222-163528-987201
16,14,303,False,8.0,2.4491157824491157,outputs\20251222-163531-607000
16,14,404,False,8.0,3.2115448782115448,outputs\20251222-163534-234083
16,14,505,True,8.0,8.008008008008009,outputs\20251222-163536-883292
16,14,606,False,8.0,3.740407073740407,outputs\20251222-163539-579778
16,14,707,True,8.0,8.008008008008009,outputs\20251222-163542-220795
24,5,101,True,8.0,8.008008008008009,outputs\20251222-163545-036539
24,5,202,True,8.0,8.008008008008009,outputs\20251222-163547-302968
24,5,303,True,8.0,8.008008008008009,outputs\20251222-163549-570345
24,5,404,True,8.0,8.008008008008009,outputs\20251222-163551-784159
24,5,505,True,8.0,8.008008008008009,outputs\20251222-163554-082315
24,5,606,True,8.0,8.008008008008009,outputs\20251222-163556-323751
24,5,707,True,8.0,8.008008008008009,outputs\20251222-163558-689708
24,6,101,True,8.0,8.008008008008009,outputs\20251222-163601-157699
24,6,202,False,8.0,6.649983316649983,outputs\20251222-163603-626554
24,6,303,True,8.0,8.008008008008009,outputs\20251222-163605-956640
24,6,404,False,8.0,7.247247247247247,outputs\20251222-163608-271192
24,6,505,True,8.0,8.008008008008009,outputs\20251222-163610-563611
24,6,606,True,8.0,8.008008008008009,outputs\20251222-163612-891113
24,6,707,True,8.0,8.008008008008009,outputs\20251222-163615-275348
24,8,101,False,8.0,5.9859859859859865,outputs\20251222-163617-602464
24,8,202,False,8.0,6.5181848515181855,outputs\20251222-163620-004516
24,8,303,True,8.0,8.008008008008009,outputs\20251222-163622-395353
24,8,404,True,8.0,8.008008008008009,outputs\20251222-163624-793015
24,8,505,True,8.0,8.008008008008009,outputs\20251222-163627-206792
24,8,606,True,8.0,8.008008008008009,outputs\20251222-163629-648038
24,8,707,True,8.0,8.008008008008009,outputs\20251222-163632-068132
24,10,101,True,8.0,8.008008008008009,outputs\20251222-163634-538846
